"","patient","polar_ 1","polar_ 2","polar_ 3","polar_ 4","polar_ 5","polar_ 6","polar_ 7","polar_ 8","polar_ 9","polar_ 10","polar_ 11","polar_ 12","polar_ 13","polar_ 14","polar_ 15","polar_ 16","polar_ 17","polar_ 18","polar_ 19","polar_ 20","polar_ 21","polar_ 22","polar_ 23","polar_ 24","polar_ 25","polar_ 26","polar_ 27","polar_ 28","polar_ 29","polar_ 30","polar_ 31","polar_ 32","polar_ 33","polar_ 34","polar_ 35","polar_ 36","polar_ 37","polar_ 38","polar_ 39","polar_ 40","polar_ 41","polar_ 42","polar_ 43","polar_ 44","polar_ 45","polar_ 46","polar_ 47","polar_ 48","polar_ 49","polar_ 50","polar_ 51","polar_ 52","polar_ 53","polar_ 54","polar_ 55","polar_ 56","polar_ 57","polar_ 58","polar_ 59","polar_ 60","polar_ 61","polar_ 62","polar_ 63","polar_ 64","polar_ 65","polar_ 66","polar_ 67","polar_ 68","polar_ 69","polar_ 70","polar_ 71","polar_ 72","polar_ 73","polar_ 74","polar_ 75","polar_ 76","polar_ 77","polar_ 78","polar_ 79","polar_ 80","polar_ 81","polar_ 82"
"1",1,21,28,33,46,46,65,110,135,159,128,262,253,191,224,281,500,530,513,562,585,779,896,832,998,1121,759,945,1475,1249,1249,1409,1426,1662,1652,2086,2577,2594,2792,2861,1791,1863,2344,2936,3572,2593,3544,2982,3416,3719,3911,4323,5150,3922,5079,5054,5108,4117,4298,5551,4566,6312,6387,6103,6987,8375,7131,5403,7887,6796,8954,8672,7808,9761,10713,6836,9488,8654,6982,11059,10654,8240,12232
"2",2,22,24,38,38,55,69,87,138,153,193,174,243,289,288,350,402,416,664,718,610,621,591,796,667,1180,1235,1118,1172,1288,1172,1797,1113,2090,1824,1954,1991,2459,2812,2775,3073,2729,2104,2164,2062,2375,4107,2883,4541,3732,2530,3471,4853,4687,5718,5336,5363,5800,4692,6917,6259,4067,6061,4798,6958,7235,6807,6983,7016,6013,5620,9394,9824,7797,10150,9509,6637,10869,11685,11511,10302,8855,11450
"3",3,21,28,35,42,69,91,99,95,106,195,196,254,262,226,406,464,555,375,565,782,719,833,1047,810,1088,895,821,1484,1481,1225,1311,1703,1936,1737,2077,1955,1391,1628,2572,2112,2820,2960,3600,2454,3498,3229,2952,2502,4415,3339,4516,4950,4948,3070,5767,6006,5967,6093,5587,3877,6451,7106,5989,4512,7042,4657,7549,6440,6151,5199,9797,5334,6163,9557,10613,9139,11353,7775,11404,8754,10665,8293
"4",4,21,24,32,47,59,58,96,125,159,174,165,232,194,331,282,339,458,649,575,795,773,981,1004,1013,693,866,980,1285,1310,1188,1148,1275,1117,1439,2403,2490,2009,1713,2668,3173,3308,2881,3041,2884,2268,4160,2485,2476,3235,3638,4057,4086,3064,3413,3813,5373,6264,3705,6529,4168,4806,5724,5017,4666,5363,7604,7402,5430,7801,8789,7467,6104,10219,7074,6403,10490,10364,9081,7782,11262,7245,12005
"5",5,22,27,38,41,55,57,107,84,124,191,156,197,338,386,421,400,437,512,425,549,886,803,669,907,716,736,1471,1009,863,1379,1454,1588,2125,1261,1255,2415,1936,1579,2990,2670,3137,3035,1934,2017,2595,2382,3150,4031,2876,3382,2711,4667,4277,5018,3472,5625,5746,4985,6399,5757,6534,4038,4073,6321,5738,4470,5219,9139,7251,8133,6006,8173,10168,10589,8919,5903,11316,12156,11274,6905,10250,12496
"6",6,21,28,36,37,69,57,70,133,103,173,253,299,320,389,249,509,560,491,395,668,763,883,980,905,1261,963,1404,1408,1315,1441,1940,1838,1337,1972,2117,1522,2453,2121,2385,2688,2026,2953,2641,3163,3126,2859,4289,2348,2551,3333,4653,3880,4452,3588,5936,4842,5932,6736,4378,5783,5893,4252,7329,7535,7152,6770,4602,5401,7963,8294,8976,8688,6355,10934,9642,9528,8628,8392,6903,9591,12204,12480
"7",7,21,24,36,36,53,89,83,86,112,158,177,254,252,295,461,342,517,528,669,773,476,818,697,668,926,1261,909,942,1556,1234,1279,1158,1796,1954,1514,2408,1841,1731,2006,1777,2490,2417,3366,2591,2639,3237,3133,4072,2505,3918,4817,3802,4921,3149,3094,5465,3799,6055,6769,3715,4528,5813,5871,4843,5477,4935,5833,4860,6227,9662,5828,5830,9027,9797,10213,6641,6258,6519,11402,6853,12465,13442
"8",8,21,25,32,46,65,85,94,89,148,202,200,245,269,395,448,337,570,515,505,448,481,712,693,1115,703,1189,1037,1412,1022,1761,1035,1625,1521,1301,1390,2178,2539,2514,2993,2627,1814,1832,2308,3636,3591,3086,3178,4295,3528,3539,3112,4991,3013,5095,4737,4328,4021,4563,4407,4510,4606,6708,5429,7316,7761,6973,6460,6674,5298,6731,6161,5215,9471,9806,7492,10281,10704,11962,6541,12471,7232,11990
"9",9,22,26,38,38,51,82,76,135,130,207,258,288,316,241,351,358,466,461,530,609,567,860,712,656,916,778,1189,1084,1133,948,1775,1910,1150,2195,1470,1827,1534,1887,2642,2608,2694,2935,3620,3368,3900,3307,2624,3264,4356,3815,3252,5044,5571,4528,3548,3858,3956,4704,5753,6341,5095,7180,5320,6450,8263,5374,8579,4645,8099,7263,6169,6096,6133,7167,6241,9645,9758,8469,11938,11547,11069,7691
"10",10,22,24,35,48,67,58,71,92,144,134,152,284,294,312,328,296,492,475,488,720,831,887,874,608,1000,1125,1133,1251,1284,1107,1554,1132,1908,1859,1445,2319,1867,1990,2450,2678,2143,3110,2899,2723,2391,2781,3996,4435,3631,3561,2914,4888,3724,4739,3396,4521,5357,5478,4640,7117,6166,4038,4945,8101,4714,6311,5044,9154,5422,7862,6814,8248,7976,8774,7597,10235,11084,8607,12161,6679,12522,11479
